,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
1045,VA,,,,MODIFICATION-Memo / EXTENSION of performance period to be 10-01-21 thru 01-28-22 at NO Cost to Gov't | SPECIAL Precedence| Contract No. 36C26221P1260 /PO 691C10490 /E2 CONTRACTING Inc.| COR@Sta.691-Robert.DALLEY | C/S@NCO-22: Kevin VO (VA-22-00008955),,,,Service Disabled Veteran Owned SB ,Q4 ,Sole Source ,
1146,VA,,,,Police Psych Eval - VALBHS - Base,,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
1147,VA,,,,Police Psych Eval - VASDHS - Base,,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q2 ,Open Market ,
1395,VA,,,,PROS  523 (NATE) DOS 3/2 T3937 PERMOBIL WC (VA-22-00048191)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
1397,VA,,,,PROS 402 (NATE) DOS 1/12/22 V0548 PERMOBIL WHEELCHAIR (VA-00096223) (VA-22-00034901)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
1398,VA,,,,PROS 402 (NATE) DOS 1/19/21 B9313 PERMOBIL WHEELCHAIR  (VA-22-00037329)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
1399,VA,,,,PROS 402 (NATE) DOS 3/4/22 L3609 PERMOBIL POWER WHEELCHAIR  (VA-22-00049505)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
1400,VA,,,,PROS 402 (NATE) DOS 3/4/22 S4994 PERMOBIL POWER WHEELCHAIR (VA-22-00049352)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
1401,VA,,,,"PROS 402 DOS 10/12/21 K2957 PERMOBIL POWER WHEELCHAIR M3 (VA-22-00012892)
36F79718D0437",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
1404,VA,,,,PROS 405 DOS 11/18/21 PERMOBIL WHEELCHAIR (VA-22-00021846) 36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
1409,VA,,,,PROS 523 (NATE) EMERGENCY DOS 3/3/22 S6585 PERMOBIL (VA-22-00048964)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Federal Supply Schedule ,
1411,VA,,,,PROS 523 DOS 10/14/21  C2190 PERMOBIL  CHAIR (VA-22-00013201),,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
1423,VA,,,,PROS 689 (NATE) DOS 12/1/21 B4276 PERMOBIL M3 BASE CORPUS/ (VA-22-00024817)36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
1424,VA,,,,PROS 689 (NATE) DOS 12/3/21 C5761 PERMOBIL WHEELCHAIR f3  (VA-22-00025354) 36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
1426,VA,,,,PROS 689 (NATE) DOS 12/8/21 K1542 PERMOBIL POWER CHAIR (VA-22-00026074) 36F79718D0437,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Federal Supply Schedule ,
1451,VA,,,,?   FITARA  VA Police Mobile Data Terminal Service - LEB  | 595-22-3-4159-0032 ,,"$1 to $2,500",,,Q3 ,,
1532,VA,,,,"36C244-22-AP-2324 | Modification to Decrease Funding (-607.91) | 36C24420P0155 | 562C10031 | Data Innovations INC | Armstrong, Antonio",,,,Not Set-Aside ,Q2 ,Sole Source ,
1607,VA,,,,36C244-22-AP-3804 | 36C24421F0194 | Modification zero dollar Vocera administrative support - extend period of performance,,,,Not Set-Aside ,Q3 ,,
1658,VA,,,,503-22-1-225-0013 | BURLODGE BPOD S AND RETHERM CARTS,,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,Sole Source ,
1715,VA,,,,542-22-2-024-0013 | Alere RALS Data Management Support | 36C24418C0075,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,,
1872,VA,,,,646-22-1-4233-0001 | SEPG 187030 | Police Radios,," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,Open Market ,
1956,VA,,,,Access to National Database for Nursing Quality Indicators (NDNQI) - PGH | 646-22-1-712-0060 ,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Sole Source ,
1993,VA,,,,Building Energy Performance Program - PHILA | 642-22-1-583-0016,,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
2027,VA,,,,"Dacima Data Management SW License - PGH | 646-22-1-2490-0003, see 2268 @ 36C244-20-AP-4543",,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
2028,VA,,,,Data Innovations Instrument Manager SW - PHILA | ,,"$3,000.01 to $25,000",,Not Set-Aside ,Q1 ,Sole Source ,
2029,VA,,,,Data Innovations option 36C24420P0271 (exp 3/14) - BUTLER | EDA: 2/14/22 sjc | 529-22-2-051-0013,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Open Market Sole Source ,
2030,VA,,,,Data Innovations SW Licenses - WILM | 460-22-1-083-0001 ,,"$3,000.01 to $25,000",,Small Business Not Set-Aside ,Q1 ,Sole Source ,
2052,VA,,,,DSS Live Data Periop Manager License (new 5-yr start 10/1) - PGH | 646-22-1-221-0004 ,," $150,000.01 to $5,000,000",,Not Set-Aside ,Q1 ,SEWP ,
2055,VA,,,,DSS VistA Integrated LiveData PeriOp Manage SW | OY 2,," $150,000.01 to $5,000,000",,Small Business ,Q2 ,SEWP ,
2056,VA,,,,DuBois CBOC Data Ports and Outlet Installation 503-22-2-5103-0008 (VA-22-00048179),,"$3,000.01 to $25,000",,,Q2 ,,
2064,VA,,,,Exercise -8 to extend 1Mar2022-31Aug2022 | Financial Courier Services option 36C24421C0037 (exp 2/28) - LEBANON ,,"$3,000.01 to $25,000",,Not Set-Aside ,Q2 ,Sole Source ,
2124,VA,,,,HCHV Services Short Term Bridge Contract-COATESVILLE | 542-22-3-813-0005,," $150,000.01 to $5,000,000",,Not Set-Aside ,Q3 ,Open Market ,
2151,VA,,,,Johnstown CBOC Data Ports and Electrical Outlets Modification 503-22-2-5102-0007 (VA-22-00048238),,"$3,000.01 to $25,000",,,Q2 ,,
2258,VA,,,,"Option - Medical Database Access, 36C24419P0455 (exp 4/28) - LEB",,"$3,000.01 to $25,000",,,Q3 ,,
2308,VA,,,,RIVR Data R&D Phase 2 TO 36C24420D0060 (start 1/4) - PGH | 646-22-1-2490-0249 ,,"$25,000.01 to $150,000",,Not Set-Aside ,Q2 ,Blanket Purchase Agreement ,
2366,VA,,,,"Termination for Convenience, VA244-15-D-0003,  36C24419N0898, 646-18-105 Pharmacy Add Chemo Hoods UD and HZ. (VA-22-00017172)",,,,,Q1 ,,
2391,VA,,,,Wage Determination Modification | COATESVILLE,,,,,Q4 ,,
2429,VA,,,,"Lodging Services IDIQ - SF
Period of Performance: 12-01-2021 to 11-30-2026

",,"$3,000.01 to $25,000",,Service Disabled Veteran Owned SB ,Q4 ,Indefinite Delivery Indefinite Quantity Open Market ,
2457,VA,,,,"Wheelchair and Courtesy Transport IDIQ - SF
Period of Performance: 03-01-2022 to 02-28-2023 + 1",," $150,000.01 to $5,000,000",,Small Business ,Q2 ,Indefinite Delivery Indefinite Quantity Open Market ,
2470,VA,,,,  FY 22 | APPLE IPAD ANNUAL DATA PLAN  (VA-21-00103158),,"$25,000.01 to $150,000",,Small Business ,Q4 ,SEWP ,
2484,VA,,,,(36C24220F0253) Northport CIS-DataBridge Perpetual License Software Maint. - Option Yr 2,,"$25,000.01 to $150,000",,Small Business ,Q1 ,Indefinite Delivery Indefinite Quantity SEWP ,
2495,VA,,,,"528A8-22-705G7 EHRM Infrastructure Upgrades CBOC Catskill (VA-22-00038251)
Last Update: 3/25/22
Actionable Pkg: No
Current Phase: Requirements
Proposed Posting: N/A
Proposed Award: 2/20/22
Comments: Determining if construction will be needed for Telecommunications Room | Ongoing",,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q2 ,Sole Source ,
2496,VA,,,,"528A8-22-705GY EHRM Infrastructure Upgrades CBOC Clifton Park 
Last Update: 3/25/2022
Actionable Pkg: No
Current Phase: Requirements
Proposed Posting: N/A
Proposed Award:: 2/20/22
Comments: Determining if construction will be needed for Telecommunications Room ? Ongoing",," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q2 ,Sole Source ,
2535,VA,,,,Albany VAMC Security System Upgrade (VA-21-00081502) 9/28: C Ashe is awaiting further information to determine signature for 6500.6 form. ,," $150,000.01 to $5,000,000",,Service Disabled Veteran Owned SB ,Q1 ,Open Market ,
2573,VA,,,,Grant GSA furniture (VA-22-00048749),,"$3,000.01 to $25,000",,,Q4 ,,
2574,VA,,,,Grant IDIQ Furniture (VA-22-00047139),,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,Indefinite Delivery Indefinite Quantity ,
2617,VA,,,,NJ CIS-DataBridge Perpetual License Software Maint. - Option Yr 2,,"$25,000.01 to $150,000",,Small Business ,Q1 ,Indefinite Delivery Indefinite Quantity SEWP ,
2622,VA,,,,NY Harbor CIS-DataBridge Perpetual License Software Maint. - Option Yr 2,,"$25,000.01 to $150,000",,Small Business ,Q1 Q2 Q3 Q4 ,SEWP ,
2643,VA,,,,PRO_R_IEN_561_269027_CONSULT_3878636_QUOTE_ P000229913_F5 Base Corpus VS - F5 MPO_PWC_PERMOBIL  (VA-22-00021294),,"$3,000.01 to $25,000",,,Q1 ,Sole Source ,
2663,VA,,,,Short term contract for Janitorial for VANJ CBOC'S (VA-22-00054983),,"$25,000.01 to $150,000",,Service Disabled Veteran Owned SB ,Q3 ,General Service Administration Contract ,
